Полная масса, кг 	37150
Отсеков, шт. 	1
Вместимость цистерны,  м³ 	30
Нагрузка на ССУ, кг 	14500
Форма цистерны 	Цилиндрическая постоянного сечения
Материал цистерны 	Сталь 09Г2С
Оси 	BPW (3-х осн.)
Подвеска 	Пневматическая производства BPW
Шины 	Шины размерности 385/65 R22.5, стальные колесные диски 11.75*22
Электрика 	Электрооборудование 24 В (класс ADR), производитель VIGNAL (Франция)
Система налива 	Верхний налив крышка горловины DN 500, дыхательный клапан
Система слива 	Гравитационный слив, разгрузочная труба 4``, механический донный клапан, заслонкабыстрого закрывания Dy 100
Покраска 	Покраска цистерны и рамы высококачественной двухкомпонентной краской Tikurilla с грунтовкой поверхности
Оснастка 	Шкворень диаметром 2” международного типа марки JOST, механические опоры (24 тн) типа JOST, термометр, огнетушитель, пластиковый контейнер для огнетушителя, композитный сливной рукав для высоких температур, алюминиевый короб для рукава, экологический короб, площадка обслуживания у заливной горловины
Рекомендуемый тягач 	С колесной формулой 6х2, 6х4 российского или иностранного производства 
Габаритные размеры, мм: 	9 300 х 2 550 х 3 700
Снаряженная масса, кг 	7150
Плотность, т/м3 	1
Термоизоляция, мм 	100/150/без термоизоляции
Обшивка цистерны (при термоизоляции) 	зеркальная нержавеющая сталь/оцинкованная окрашенная сталь
Тормозная система 	Электронная система торможения (EBS) с RSS (Rollover Stabiliti System), производитель Wabco/BPW, тип 2S/2M
Тележка 	22650 м
