Мост передний в сборе	122Б.03.00.000
Ось переднего моста	122А.03.00.005
Балка моста переднего	ДЗ-122Б.03.07.000
Ось переднего моста	122А.03.00.001
Тяга рулевая в сборе	 ДЗ-122А.03.04.000
Заглушка шкворня	Д-144-2442
Втулка шатуна (бронза)	557-1.03.01.002
Втулка шкворня (бронза)	0860.2207-01
Корпус сальника	Д144-25-029
Ось	122А.03.00.004 
Ось	557.04.02.016
Палец	144-24-018
Палец шаровой	ДЗ-122А 03.04.104
Палец	ДЗ-122.03.00.019
Палец оси	557-1.03.00.003
Наконечник тяги рулевой (правый)	122Б.03.09.100
Наконечник тяги рулевой (левый)	122Б.03.09.100-1
Шкворень	122А.03.00.002
Ступица левая передняя	122А.03.03.000
Ступица правая передняя	122А.03.03.000-01
Кулак левый поворотный	122А.03.03.010
Кулак правый поворотный	122А.03.03.010-01
Шатун левый	122.03.02.000
Шатун правый	122А.03.02.000-01
Рабочий орган ДЗ-122
КПП гидромеханическая Польша У35-605-32	ДЗ-122А.05.00.000
КПП механическая Польша У35-606	ДЗ-122А.05.00.000
РКПП механическая Псков ДЗ-122	ДЗ-122А-1.55.00.000
Кронштейн КПП 	ДЗ-122А.05.00.003/ДЗ-122.05.00.004
Рабочее оборудование в сборе 	ДЗ-122А.02.00.000
Амортизатор (КПП.двигатель)	557.05.16.000
Болт карданный 	М10х38
Болт крепления ножей отвала(с гайкой и гровером)	122А.02.10.001
Вал промежуточный	ДЗ-122А.04.05.002
Втулка вилки гидроцилиндра (бронза)	ДЗ-122А.01.04.005
Толкатель тормозка	 557-1.26.00.004
Шестерня (звездочка)редуктора поворота отвала	122.08.60.034
Накладка поворотного круга (2 отверстия)	122.02.00.001
Накладка поворотного круга (3 отверстия)	122.02.00.002
Колесо червячное	122.08.60.003
Шкворень тяговой рамы	122.02.00.006
Кронштейн "ожерелье" 	122А.04.05.000
Опора шкворня	557.02.00.004
Нож твердосплав.	130 х 20 х 1820 ТС
Нож грейдерный	1820 х 14 х 180
Вал редуктора поворота отвала	122.08.60.006
Нож боковой	250 х 18(20) х 600
Рама тяговая	122Б.02.05.000
Венец круга поворотного	122Б.02.02.007
Круг поворотный (без венца)	122А.02.05.000
Кронштейн отвала правый	122А.02.04.000
Кронштейн отвала левый	122А.02.03.000
Вкладыш кронштейна отвала	ДЗ-122А.02.03.010
Отвал средний ДЗ 122	122.02.09.000
Редуктор поворота отвала без г/м 122А	122.08.60.020
Редуктор поворота отвала без г/м	122Б.02.06.020
Червяк ДЗ-122	122.08.60.001
Механизм отбора мощности ДЗ-122	МОМ ДЗ-122Б(ЯМЗ 236)
Мост задний(тележка задняя) ДЗ-122
Тележка задняя ДЗ-122	ДЗ-122А.04.00.000
Колодка тормоза ручного	557-1.26.00.010
Втулка	 ДЗ-122А.04.05.001
Гайка ДЗ-122	557-1.26.00.012
Гайка шпильки колеса	ДЗ-122 120-3103018
Гнездо 	 ДЗ-122.04.06.009 
Диск колеса ДЗ-122	380-3101012
Шестерня моста заднего Z-42	122.04.05.002
Шестерня моста заднего Z=40	122А.04.05.013
Шестерня заднего моста ДЗ-122 Z-46 	122.04.05.013
Шестерня моста заднего Z-15/17	31-2.04.08.001/122А.04.05.001
Шестерня центральная балансира Z-26	122.04.06.003
Шестерня колесная балансира Z-40	557-1.04.02.057
Шестерня самовар(с осью)	557-1.04.01.076
Шестерня паразитная балансира Z-40	557.04.02.002
Кинескоп (Корпус шестерни)	122А.04.05.021
Шестерня моста заднего Z-12	557-1.04.00.076
Чулок балансира ДЗ-122	ДЗ-122.04.05.010
Чуло
