Производитель	Teksan (Турция)
Модель	TJ145PE5A
Максимальная мощность 	145 кВА / 116 кВт
Номинальная мощность/Максимальная мощность в последовательности меняющихся мощностей, которые могут обеспечиваться в течение неограниченного времени с перерывами на техническое обслуживание.	132 кВА / 105 кВт
Базовая мощность которую электроагрегат способен непрерывно обеспечивать в течение неограниченного времени ежегодно с перерывами на техническое обслуживание.	105 кВА / 84 кВт
Максимальная сила тока, А	209
Номинальный ток в основном режиме, А	190
Напряжение, В	230/400
Двигатель
Производитель двигателя	Perkins (Великобритания)
Модель двигателя	1006TАG
Кол-во и расположение цилиндров	
Максимальная мощность двигателя, кВт	
Частота вращения, об/мин	
Тип охлаждения	
Объём двигателя, л	
Объём масляной системы, л	
Удельный расход топлива, л/кВт*ч	0.209
Расход топлива при 100% нагрузке, л/час	22
Расход топлива при 75% нагрузке, л/час	16.5
Расход топлива при 50% нагрузке, л/час	11
График расхода топлива	
Альтернатор
Производитель альтернатора	Marelli
Модель альтернатора	MJB225LA4
Тип альтернатора	Синхронный
Стабильность выходного напряжения, %	1
Стабильность выходной частоты, %	1
Класс защиты	IP 23
Размер, мм	3340x1130x1590
Ёмкость бака, л	260
Макс. автономия (при нагрузке 100%), ч	11.8
Макс. автономия (при нагрузке 75%), ч	15.8
Макс. автономия (при нагрузке 50%), ч	23.6
Масса, кг	1838
