Валерий Меладзе - Вопреки
СЕКТОР ГАЗОВОЙ АТАКИ	ПАМЯТИ ЮРИЯ ХОЯ…
КУКРЫНИКСЫ 	ФАВОРИТ СОЛНЦА
КУКРЫНИКСЫ 	ШАМАН
КУКРЫНИКСЫ 	СТОЛКНОВЕНИЕ
СЕРГЕЙ МАВРИН 	ОТКРОВЕНИЕ
АЛИСА	ПУЛЬС ХРАНИТЕЛЯ ДВЕРЕЙ ЛАБИРИНТА
БРАТЬЯ ГРИМ 	ИЛЛЮЗИЯ
СУРГАНОВА И ОРКЕСТР	СБОРНИК 
КРЕМАТОРИЙ	АМСТЕРДАМ
KRUGER	NO КОМПРОМИСС
ЮТА 	ТЕЛЕРАДИОСНЫ
НОГУ СВЕЛО	СЧАСТЛИВА ПОТОМУ ЧТО БЕРЕМЕННА  ЗЕЛЁНЫЙ АЛЬБОМ
АРИЯ	ФЕНИКС
ДЯГЕЛЬ И МОНГОЛЫ	МЕСТО ПОД СОЛНЦЕМ
ДИСКОТЕКА АВАРИЯ	THE DISCO OF 10
ЧИЛИ	ВРЕМЯ ЛЕТО
РУКИ ВВЕРХ	ОТКРОЙ МНЕ ДВЕРЬ
ДЕЛЬФИН	ТКАНИ    
ЛЮБОВЬ УСПЕНСКАЯ	ИСТОРИЯ ОДНОЙ ЛЮБВИ
МУРЗИЛКИ INTERNATIONAL 	ВСЕ СВОИ
АННА СЕМЕНОВИЧ	СЛУХИ
РУКИ ВВЕРХ	ДЕМБЕЛЬСКИЙ АККОРД
ДОРОГА ВОДАНА   
ЛЕРА МАССКВА	РАЗНЫЕ  
ДИСКОТЕКА АВАРИЯ	МОДНЫЙ ТАНЕЦ
2 ЧАСА НАСТОЯЩЕГО ХИП-ХОПА	
ГЛЮКОЗА	ХОЧУ МУЖЧИНУ
УМКА И БРОНЕВИЧОК	ТОЛЬКО ЛУЧШЕЕ  
ЦЕНТР	ЭФИР В НОРМЕ
ВАЛЕРИЯ	НЕПОДКОНТРОЛЬНО
АЛЕКСЕЙ ХВОРОСТЯН	ПАДАЛИ НО ПОДНИМАЛИСЬ 
АЛСУ 	ФЕЯ ДОБРЫХ СЛОВ
ИННА НОГОВИЦИНА	НА СВИДАНКУ
ДЕЛЬФИН	ЮНОСТЬ
АКЦЕНТ	KYLIE   CD LAND 
ВИНТАЖ	АНЕЧКА
ПОРУЧИК РЖЕВСКИЙ	НОВОЕ И ЛУЧШЕЕ
ХАРИЗМА 	ИСТОЧНИК СИЛЫ  мистерия  
КИРПИЧИ	ЦАРСКИЙ АЛЬБОМ  гала рекордз 
ТИМАТИ	THE BOS
МЫ ПОБЕДИМ 	СБОРНИК
АЛСУ 	
ДЕЛЬФИН	НЕ В ФОКУСЕ   
ВОЛК	ЗА ПАЦАНОВ  
DA 108 FLAVA	НАЧАЛО..

полный список вышлю. возможен обмен на что-нибудь

ВНИМАНИЕ!  на avito изменения. сообщения теперь на почту не приходят, а остаются в личном кабинете. ваш адрес там не виден.
пишете адрес в тексте сообщения  или присылайте смс  на указанный номер.
