Характеристики

Способ подключения	Электрический
Тип	Независимый
Функциональность	Мультифункциональный
Ширина, см	60,0 см
Цвет поверхности	Антрацит
Класс энергопотребления	А-10%
Полезный объём	70 л
Максимальная температура приготовления, 0C	
Максимальная мощность, кВт	
Питание, В-Гц	220-240 В, 50/60 Гц
Гарантия	24 мес.
Сенсорное управление	нет
Кнопочное управление	нет
Поворотные переключатели	есть
Утапливаемые переключатели	нет
Цвет переключателей	Бронза
Материал панели управления	
Цифровой дисплей	нет
Электронный программатор	нет
Механический (М) или Цифровой (Ц) таймер	(M)60 минут
Будильник	нет
Количество программ, шт.	9
Быстрый разогрев	нет
Свет	есть
Верх	нет
Низ	нет
Верх + Низ	нет
Размораживание (Циркуляция)	нет
Низ + Цирк	нет
Традиционный нагрев (Верх + Низ + Цирк)	нет
Круг + Цирк	нет
Гриль	нет
Верх + Гриль	нет
Гриль + Цирк	нет
Двойной Гриль + Цирк	нет
Гриль + Вертел	нет
Низ + Вертел	нет
Верх + Гриль + Вертел	нет
Верх + Гриль + Цирк + Вертел	нет
Конвекция	нет
Электрический гриль	нет
Газовый гриль	нет
Вертел	нет
Термостат	нет
Электронный контроль температуры	нет
Электроподжиг	нет
Каталитическая очистка	
Съёмная дверца	нет
Покрытие от отпечатков пальцев	нет
Внутреннее ровное стекло Full Glass	нет
Количество уровней установки противней, шт.	5
Открывание дверцы	Фронтальное
Дизайн стекла дверцы	Прозрачное
Внутренние размеры устройства (ШхВхГ, см)	45.7 x 41 x 34.6
Тангенциальная вентиляция	нет
Количество стёкол дверцы, шт.	2
Газ-контроль	нет
Защита от детей	нет
Индикация остаточного тепла	нет
Решётка, шт.	1
Стандартный противень, шт.	
Глубокий противень, шт.	1
Ухват	нет
Вертел	нет
Стандартные съёмные направляющие	
Телескопические направляющие, кол-во уровней	
Размеры устройства (ШхВхГ)	59.5 x 57.5 x 59.5
Размеры ниши для встраивания (ШхВхГ, см)	56 х 60 х 57
